2026-06-08 06:52:07,881 | INFO     | company-ai.admin | pid=66720 | privileged model changed | model='arn:aws:bedrock:ap-south-1:012857119299:inference-profile/apac.amazon.nova-lite-v1:0' by='nitin.r@omnicard.in'
2026-06-17 11:38:38,914 | INFO     | company-ai.admin | pid=22132 | standard model changed | model='arn:aws:bedrock:ap-south-1::foundation-model/meta.llama3-70b-instruct-v1:0' by='nitin.r@omnicard.in'
2026-06-17 11:51:05,148 | INFO     | company-ai.admin | pid=3088 | privileged model changed | model='arn:aws:bedrock:ap-south-1::foundation-model/meta.llama3-70b-instruct-v1:0' by='nitin.r@omnicard.in'
2026-06-17 12:53:25,781 | INFO     | company-ai.admin | pid=51364 | external kb file adopted | s3_key='procurement/world-bank-Corporate-Procurement-Policy-Summary.pdf' by='nitin.r@omnicard.in'
2026-06-17 12:53:30,229 | INFO     | company-ai.admin | pid=51364 | external kb file adopted | s3_key='procurement/aiib-corporate-procurement-policy.pdf' by='nitin.r@omnicard.in'
2026-06-17 12:53:31,227 | INFO     | company-ai.admin | pid=51364 | external kb file adopted | s3_key='legal/Policy_Legal_Compliance_Framework.pdf' by='nitin.r@omnicard.in'
2026-06-17 12:53:32,217 | INFO     | company-ai.admin | pid=51364 | external kb file adopted | s3_key='legal/Adevinta-Legal-Compliance-Policy.pdf' by='nitin.r@omnicard.in'
2026-06-17 12:54:15,484 | INFO     | company-ai.admin | pid=51364 | privileged model changed | model='arn:aws:bedrock:ap-south-1::foundation-model/openai.gpt-oss-safeguard-120b' by='nitin.r@omnicard.in'
2026-06-18 06:16:02,764 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='legal/Adevinta-Legal-Compliance-Policy.pdf' dept='legal' meta_keys=['city']
2026-06-18 06:16:02,784 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='legal/Adevinta-Legal-Compliance-Policy.pdf' by='nitin.r@omnicard.in' sidecar=True
2026-06-18 06:17:19,785 | INFO     | company-ai.admin | pid=1986 | S3 upload OK | bucket='bedrock-eroute' key='finance/HR-Policy-Manual-NIHR-2020-1.pdf' bytes=939543 dept='finance' meta_keys=['city']
2026-06-18 06:17:26,596 | INFO     | company-ai.admin | pid=1986 | S3 delete OK | bucket='bedrock-eroute' key='finance/HR-Policy-Manual-NIHR-2020-1.pdf'
2026-06-18 06:17:26,609 | INFO     | company-ai.admin | pid=1986 | kb doc deleted | s3_key='finance/HR-Policy-Manual-NIHR-2020-1.pdf' by='nitin.r@omnicard.in' s3_removed=True
2026-06-18 06:18:56,817 | INFO     | company-ai.admin | pid=1986 | S3 upload OK | bucket='bedrock-eroute' key='finance/HR-Policy-Manual-NIHR-2020-1.pdf' bytes=939543 dept='finance' meta_keys=['city', 'country']
2026-06-18 06:18:56,948 | INFO     | company-ai.admin | pid=1986 | S3 upload OK | bucket='bedrock-eroute' key='finance/company-ai-session-2 (1).txt' bytes=2196 dept='finance' meta_keys=['city']
2026-06-18 06:19:48,884 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='finance/HR-Policy-Manual-NIHR-2020-1.pdf' dept='finance' meta_keys=['city', 'country', 'region']
2026-06-18 06:19:48,899 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='finance/HR-Policy-Manual-NIHR-2020-1.pdf' by='nitin.r@omnicard.in' sidecar=True
2026-06-18 06:19:54,664 | INFO     | company-ai.admin | pid=1986 | S3 delete OK | bucket='bedrock-eroute' key='finance/HR-Policy-Manual-NIHR-2020-1.pdf'
2026-06-18 06:19:54,676 | INFO     | company-ai.admin | pid=1986 | kb doc deleted | s3_key='finance/HR-Policy-Manual-NIHR-2020-1.pdf' by='nitin.r@omnicard.in' s3_removed=True
2026-06-18 06:19:58,493 | INFO     | company-ai.admin | pid=1986 | S3 delete OK | bucket='bedrock-eroute' key='finance/company-ai-session-2 (1).txt'
2026-06-18 06:19:58,505 | INFO     | company-ai.admin | pid=1986 | kb doc deleted | s3_key='finance/company-ai-session-2 (1).txt' by='nitin.r@omnicard.in' s3_removed=True
2026-06-18 06:28:32,922 | INFO     | company-ai.admin | pid=1986 | privileged model changed | model='arn:aws:bedrock:ap-south-1:012857119299:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0' by='paridhi.b@omnicard.in'
2026-06-18 06:28:36,153 | INFO     | company-ai.admin | pid=1986 | privileged model changed | model='arn:aws:bedrock:ap-south-1::foundation-model/meta.llama3-70b-instruct-v1:0' by='paridhi.b@omnicard.in'
2026-06-18 06:32:57,928 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='legal/Policy_Legal_Compliance_Framework.pdf' dept='legal' meta_keys=['city']
2026-06-18 06:32:57,942 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='legal/Policy_Legal_Compliance_Framework.pdf' by='paridhi.b@omnicard.in' sidecar=True
2026-06-18 06:36:24,594 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='procurement/aiib-corporate-procurement-policy.pdf' dept='procurement' meta_keys=['region', 'country']
2026-06-18 06:36:24,610 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='procurement/aiib-corporate-procurement-policy.pdf' by='nitin.r@omnicard.in' sidecar=True
2026-06-18 06:36:51,161 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='procurement/world-bank-Corporate-Procurement-Policy-Summary.pdf' dept='procurement' meta_keys=['region']
2026-06-18 06:36:51,184 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='procurement/world-bank-Corporate-Procurement-Policy-Summary.pdf' by='nitin.r@omnicard.in' sidecar=True
2026-06-18 06:52:38,754 | INFO     | company-ai.admin | pid=1986 | privileged model changed | model='arn:aws:bedrock:ap-south-1::foundation-model/openai.gpt-oss-safeguard-120b' by='nitin.r@omnicard.in'
2026-06-18 06:55:11,372 | INFO     | company-ai.admin | pid=1986 | KB ingestion started | job_id='UQNEYNP3JD'
2026-06-18 06:55:11,403 | INFO     | company-ai.admin | pid=1986 | manual KB resync requested | by='nitin.r@omnicard.in' job_id='UQNEYNP3JD'
2026-06-18 06:55:15,397 | INFO     | company-ai.admin | pid=1986 | manual KB resync requested | by='nitin.r@omnicard.in' job_id=None
2026-06-18 07:17:25,269 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='legal/Adevinta-Legal-Compliance-Policy.pdf' dept='legal' meta_keys=['city', 'writters']
2026-06-18 07:17:25,284 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='legal/Adevinta-Legal-Compliance-Policy.pdf' by='paridhi.b@omnicard.in' sidecar=True
2026-06-18 07:17:37,087 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='legal/Adevinta-Legal-Compliance-Policy.pdf' dept='legal' meta_keys=['city', 'writters', 'version']
2026-06-18 07:17:37,104 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='legal/Adevinta-Legal-Compliance-Policy.pdf' by='paridhi.b@omnicard.in' sidecar=True
2026-06-18 07:17:56,289 | INFO     | company-ai.admin | pid=1986 | KB ingestion started | job_id='VANPZ67DGR'
2026-06-18 07:17:56,311 | INFO     | company-ai.admin | pid=1986 | manual KB resync requested | by='paridhi.b@omnicard.in' job_id='VANPZ67DGR'
2026-06-18 07:20:19,973 | INFO     | company-ai.admin | pid=1986 | KB ingestion started | job_id='Z88UZSUFUO'
2026-06-18 07:20:19,994 | INFO     | company-ai.admin | pid=1986 | manual KB resync requested | by='paridhi@omni.in' job_id='Z88UZSUFUO'
2026-06-18 07:30:23,286 | INFO     | company-ai.admin | pid=1986 | S3 sidecar updated | bucket='bedrock-eroute' key='finance/CORPORATE_FINANCE.pdf' dept='finance' meta_keys=['region', 'version', 'writters', 'year']
2026-06-18 07:30:23,300 | INFO     | company-ai.admin | pid=1986 | kb metadata updated | s3_key='finance/CORPORATE_FINANCE.pdf' by='paridhi.b@omnicard.in' sidecar=True
2026-06-18 07:30:30,143 | INFO     | company-ai.admin | pid=1986 | KB ingestion started | job_id='TEJRN3AYTS'
2026-06-18 07:30:30,166 | INFO     | company-ai.admin | pid=1986 | manual KB resync requested | by='paridhi.b@omnicard.in' job_id='TEJRN3AYTS'
2026-06-19 07:43:49,262 | INFO     | company-ai.admin | pid=3606 | standard model changed | model='arn:aws:bedrock:ap-south-1:012857119299:inference-profile/apac.amazon.nova-pro-v1:0' by='nitin.r@omnicard.in'
2026-06-19 07:50:39,775 | INFO     | company-ai.admin | pid=3606 | user deactivated | email='pb@omni.in' by='paridhi.b@omnicard.in'
2026-06-19 07:50:44,808 | INFO     | company-ai.admin | pid=3606 | user re-activated | email='pb@omni.in' by='paridhi.b@omnicard.in'
2026-06-19 07:51:07,748 | INFO     | company-ai.admin | pid=3606 | dept created | code='test' by='paridhi.b@omnicard.in'
2026-06-19 07:51:16,108 | INFO     | company-ai.admin | pid=3606 | dept deactivated | code='test' by='paridhi.b@omnicard.in'
2026-06-19 07:51:25,847 | INFO     | company-ai.admin | pid=3606 | dept activated | code='test' by='paridhi.b@omnicard.in'
2026-06-19 07:52:01,445 | WARNING  | company-ai.admin | pid=3606 | dept hard-deleted | code='test' by='paridhi.b@omnicard.in'
